titre,infos,ingredients,instructions,temps_preparation,infos_regime,valeurs_100g,valeurs_portion,all_infos,cleaned_infos,cluster2
"Fusilli à la Truffe, & Champignons Gratinés au Comté","Des macaroni nappés de béchamel maison à la truffe, puis recouverts de comté râpé que lon fait gratiner au four. Vous avez dit gourmand ? OUI absolument !",Champignons de Paris : 500 g; Macaroni : 500 g; Crème à la truffe : 2 c.s.; Beurre demi-sel : 100 g; Farine de blé : 100 g; Lait : 500 ml; Comté râpé : 60 g,"1. Cest parti ! : Faites bouillir une grande casserole deau salée pour cuire les macaroni . Préchauffez votre four à 220°C en chaleur tournante*. Ôtez le bout terreux des champignons si nécessaire puis coupez-les en lamelles. | 2. Béchamel part one : Plongez les macaroni dans leau bouillante le temps indiqué sur le paquet. Dans une autre casserole à feu moyen, faites fondre le beurre . Une fois le beurre fondu, ajoutez la farine dune traite, remuez vigoureusement avec un fouet pendant 2 min pour colorer le mélange. Vous réalisez un roux*. | 3. Béchamel part two : Versez le lait (et 500 ml deau si vous êtes 4) tout en remuant avec un fouet jusquà ébullition, salez et poivrez . La béchamel va épaissir et prendre une consistance onctueuse. Une fois que vous avez obtenu une consistance nappante, ajoutez la crème à la truffe et coupez le feu. | 4. Creamy macaroni : Égouttez les macaroni et remettez-les dans la casserole. Versez la béchamel truffée par-dessus. Ajoutez les champignons et mélangez bien. | 5. Chaud, chaud, chaud ! : Versez le tout dans un plat à four. 
 Parsemez de comté râpé et enfournez pour 8 à 10 min. Nhésitez pas à mettre le grill, surveillez bien, ça gratine vite ! | 6. Service gratiné : Servez le gratin bien chaud et régalez-vous !",30 min,"Pâtes, Kids friendly, végé, gourmand, Gratin","Énergie : 132 kcal554 kJ; Protéines : 4,5 g; Lipides : 4,76 g; Fibres : 1,15 g; Glucides : 17,27 g; Graisses saturées : 2,8 g; Sucres : 2,52 g; Sel : 0,14 g","Énergie : 889 kcal3 731 kJ; Protéines : 30,3 g; Lipides : 32,01 g; Fibres : 7,75 g; Glucides : 116,23 g; Graisses saturées : 18,88 g; Sucres : 16,99 g; Sel : 0,95 g","Des macaroni nappés de béchamel maison à la truffe, puis recouverts de comté râpé que lon fait gratiner au four. Vous avez dit gourmand ? OUI absolument ! Pâtes, Kids friendly, végé, gourmand, Gratin",macaroni nappés béchamel maison truffe puis recouverts comté râpé lon fait gratiner four dit gourmand oui absolument pâtes végé gourmand gratin,13
"Gratin Dauphinois, aux Légumes","Le traditionnel gratin dauphinois, avec des pommes de terre normandes mais aussi des carottes et du chou-fleur de saison. Le tout cuit dans la crème pour un résultat gourmand et réconfortant qui fait adorer les légumes aux enfants.",pommes de terre : 800 g; chou-fleur : 0.5 pièce; blanc de poireau : 2 pièces; carotte : 400 g; crème liquide : 800 ml; ail : 2 pièces; thym frais : 4 tiges,"1. Pour commencer : Préchauffez le four à 180°C en chaleur traditionnelle*. Épluchez les pommes de terre puis coupez-les en très fines rondelles. Si vous avez une mandoline, ou un robot, cest le moment de les sortir ! Épluchez la carotte et coupez-la en fines rondelles ou en lamelles. | 2. Coupe, coupe, coupe : Coupez le chou-fleur en fleurettes, puis recoupez-les en tranches dun cm. Lavez bien le poireau puis coupez-le en tronçons denviron 3 cm dépaisseur. Épluchez lail , coupez-le en 2 pour ôter son germe puis hachez-le*. | 3. Ça sent bon ! : Chauffez une cocotte ou une casserole à feu doux* avec un filet* dhuile dolive . Ajoutez lail et faites-le suer* pendant 2 min en remuant. | 4. Hop cocotte ! : Versez la crème liquide. Ajoutez les légumes , effeuillez* le thym et versez de leau à hauteur*. Salez et poivrez bien puis laissez mijoter* à feu moyen 10 à 15 min. Les légumes doivent être presque cuits et la crème nappante*. | 5. Un tour au four : Versez le tout dans un plat à gratin, puis enfournez pour 8 à 10 min. Nhésitez pas à mettre le gril en fin de cuisson, surveillez bien, ça gratine vite. | 6. La régalade ! : Vérifiez la cuisson des légumes en les piquant. La lame du couteau doit senfoncer sans résistance. Servez le gratin dauphinois bien chaud et régalez-vous !",25 min,"végé, Gratin, gourmand, -20min, Recette légume, IG bas, sans gluten, Kids friendly, <600 kcal","Énergie : 87 kcal363 kJ; Protéines : 2,19 g; Lipides : 4,88 g; Fibres : 1,63 g; Glucides : 7,73 g; Graisses saturées : 2,93 g; Sucres : 2,68 g; Sel : 0,07 g","Énergie : 572 kcal2 388 kJ; Protéines : 14,43 g; Lipides : 32,06 g; Fibres : 10,71 g; Glucides : 50,82 g; Graisses saturées : 19,26 g; Sucres : 17,63 g; Sel : 0,43 g","Le traditionnel gratin dauphinois, avec des pommes de terre normandes mais aussi des carottes et du chou-fleur de saison. Le tout cuit dans la crème pour un résultat gourmand et réconfortant qui fait adorer les légumes aux enfants. végé, Gratin, gourmand, -20min, Recette légume, IG bas, sans gluten, Kids friendly, <600 kcal",traditionnel gratin dauphinois pommes terre normandes aussi carottes choufleur saison tout cuit crème résultat gourmand réconfortant fait adorer légumes enfants végé gratin gourmand légume ig ba gluten,13
"Gratin de Brocoli, au Parmesan",Compatible TM5 / TM6 / TM31.,Brocoli : 600 g; parmesan râpé : 100 g; Beurre demi-sel : 30 g; Farine de blé : 30 g; Préparation végétale amande : 300 ml; amandes : 30 g,"1. Mise en place : Détailler le brocoli en bouquets. | 2. Déroulé : 1. Mettre les amandes dans le bol, puis hacher 10 sec/vitesse 5 . Réserver. 2. Mettre l’eau dans le bol rincé et le brocoli dans le Varoma. Mettre en place le Varoma et cuire à la vapeur 20 min/Varoma/vitesse 2 . Transférer le brocoli dans un plat à gratin. 3. Mettre le beurre et la farine dans le bol vidé, cuire 6 min/120°C/vitesse 1 , sans le gobelet doseur. 4. Ajouter le lait d’amande, saler et poivrer, puis cuire 7 min/110°C/vitesse 2 . 5. Préchauffer le four à 200°C. Napper le brocoli avec la sauce, parsemer avec le parmesan et les amandes, puis faire gratiner 15 min au four.",15 min,"végé, -20min, Recette légume, Gratin, <600 kcal","Énergie : 89 kcal369 kJ; Protéines : 4,27 g; Lipides : 6,23 g; Fibres : 1,44 g; Glucides : 2,69 g; Graisses saturées : 2,53 g; Sucres : 0,96 g; Sel : 0,17 g","Énergie : 354 kcal1 469 kJ; Protéines : 17,03 g; Lipides : 24,81 g; Fibres : 5,74 g; Glucides : 10,71 g; Graisses saturées : 10,06 g; Sucres : 3,83 g; Sel : 0,69 g","Compatible TM5 / TM6 / TM31. végé, -20min, Recette légume, Gratin, <600 kcal",compatible végé légume gratin,13
"Gratin de Chou, façon Lasagnes","Un plat généreux façon lasagne gratinées. Entre les feuilles de chou, une farce gourmande de chair à saucisse, champignons, carottes et oignon avec une touche de coulis de tomates. Un mélange de saveurs qui rappelle le chou farci traditionnel !",chair à saucisse : 500 g; chou vert : 1 pièce; champignons de paris : 300 g; oignon jaune : 2 pièces; ail : 2 pièces; carotte : 200 g; coulis de tomate : 400 ml; emmental râpé : 200 g,"1. Mise en place : Préchauffez le four à 220°C en chaleur traditionnelle*. Détachez les feuilles de chou , ôtez leur grosse côte centrale et lavez-les bien. Ôtez le bout terreux des champignons puis coupez-les en lamelles. Épluchez et hachez* finement lail et loignon (cf. quantités). Épluchez la carotte et coupez-la en biseaux*. | 2. Blanchir : Faites bouillir une grande casserole deau salée pour blanchir* les feuilles de chou vert . Plongez les feuilles de chou dans leau bouillante pour 3 à 4 min. Les feuilles doivent être tendres, mais rester entières Égouttez-les bien à laide de papier absorbant ou dun torchon propre. | 3. À la poêle : Chauffez une poêle ou une sauteuse* à feu moyen avec un filet* dhuile dolive . Faites-y revenir loignon 3 min en remuant. Ajoutez les champignons et les carottes . Faites cuire 6 à 8 min à feu moyen, jusquà ce que les carottes soient bien tendres. Salez et poivrez . | 4. Touche de rouge : Ajoutez la chair à saucisse et lail . Laissez cuire 3 min en remuant. Ajoutez le coulis de tomate et leau (cf. quantité). Salez , poivrez et laissez cuire 10 min à feu doux* et à couvert*. | 5. Touche finale : Dans un plat à four disposez un fond de sauce tomate . Ajoutez une feuille de chou , puis de nouveau de la sauce . Finissez par une feuille de chou , recouvrez-la demmental râpé . Enfournez pendant 5 à 10 min pour gratiner le fromage . | 6. Bon appétit ! : Pour gratiner le fromage, vous pouvez mettre le mode grill quelques minutes en surveillant. Servez bien chaud et régalez-vous !",30 min,"IG bas, bio, porc, nutrition, créatif, Gratin, Recette légume, sans gluten, Kids friendly","Énergie : 102 kcal423 kJ; Protéines : 6,55 g; Lipides : 6,73 g; Fibres : 1,56 g; Glucides : 4,2 g; Graisses saturées : 3,1 g; Sucres : 2 g; Sel : 0,28 g","Énergie : 666 kcal2 771 kJ; Protéines : 42,84 g; Lipides : 44,04 g; Fibres : 10,18 g; Glucides : 27,49 g; Graisses saturées : 20,29 g; Sucres : 13,1 g; Sel : 1,82 g","Un plat généreux façon lasagne gratinées. Entre les feuilles de chou, une farce gourmande de chair à saucisse, champignons, carottes et oignon avec une touche de coulis de tomates. Un mélange de saveurs qui rappelle le chou farci traditionnel ! IG bas, bio, porc, nutrition, créatif, Gratin, Recette légume, sans gluten, Kids friendly",plat généreux façon lasagne gratinées entre feuilles chou farce gourmande chair saucisse champignons carottes oignon touche coulis tomates mélange saveurs rappelle chou farci traditionnel ig ba bio porc gratin légume gluten,13
"Gratin de Pommes de Terre, et Filet de Dinde",Compatible TM6 / TM5,Filet de dinde : 400 g; Oignon jaune : 0.5 g; Bouillon de volaille : 0.5 pièce; Pommes de terre : 450 g; comté râpé : 35 g; Crème fraîche : 150 g; Moutarde : 1 g; Moutarde à lancienne : 1 g; Persil frais : 0.5 c.s.,"1. Mise en place : Éplucher loignon et le couper en 2. Éplucher les pommes de terre et les couper en dés. Couper la dinde en lamelles. Ciseler le persil. | 2. Déroulé : 1. Mettre loignon dans le bol et hacher 5 sec/vitesse 5 . Transvaser dans le panier cuisson. 2. Mettre leau et le cube de bouillon dans le bol. Insérer le panier cuisson et y mettre les pommes de terre. Mettre en place lensemble Varoma, y mettre les lamelles de dinde sur le plateau vapeur, 2 pincées de sel et de poivre, puis cuire à la vapeur 20 min/Varoma/vitesse 1 . Peu avant la fin du temps de cuisson, préchauffer le four à 220 °C (Th. 7-8). Retirer lensemble Varoma et le panier cuisson, puis laisser 75g de bouillon dans le bol. 3. Mettre les pommes de terre et loignon cuits dans un plat à gratin, puis garnir la surface de lamelles de dinde. Réserver. Ajouter la crème fraîche, la moutarde, la moutarde à lancienne, le persil, 1 pincée de sel et de poivre au contenu du bol, puis mélanger 20 sec/vitesse 4 . Verser la sauce sur les lamelles de dinde dans le plat à gratin, puis saupoudrer de comté râpé. Enfourner et cuire 20 minutes à 220°C, en surveillant la coloration. Servir aussitôt.",15 min,"Kids friendly, volaille, efficace, Gratin, -20min, sans gluten, <600 kcal","Énergie : 94 kcal394 kJ; Protéines : 8,07 g; Lipides : 4,41 g; Fibres : 0,6 g; Glucides : 5,13 g; Graisses saturées : 2,59 g; Sucres : 0,64 g; Sel : 0,33 g","Énergie : 467 kcal1 958 kJ; Protéines : 40,08 g; Lipides : 21,87 g; Fibres : 2,98 g; Glucides : 25,49 g; Graisses saturées : 12,86 g; Sucres : 3,17 g; Sel : 1,64 g","Compatible TM6 / TM5 Kids friendly, volaille, efficace, Gratin, -20min, sans gluten, <600 kcal",compatible volaille gratin gluten,13
Tartiflette Savoyarde,"Les températures dégringolent, lheure de la tartiflette a sonné : des pommes de terre normandes fondantes et des lardons croustillants sous une bonne couche de Reblochon gratiné. Un repas très gourmand, rapide et généreux à la savoyarde !",reblochon : 500 g; lardons fumés : 300 g; pommes de terre : 800 g; salade : 1 pièce; oignon jaune : 1 pièce; thym : 2 c.c.,"1. Cest parti ! : Préchauffez votre four à 200°C en chaleur tournante*. Faites bouillir la quantité deau indiquée dans vos ingrédients. | 2. Découpes : Rincez les lardons fumés à leau claire. Lavez, épluchez et coupez les pommes de terre en fines lamelles. Pelez et émincez* loignon . | 3. Garnitures : Dans une seconde casserole, à feu moyen, faites revenir* les lardons fumés avec loignon pendant 5 min en mélangeant régulièrement. Ensuite, ajoutez le thym , les pommes de terre , le poivre et leau bouillante . Mélangez, couvrez et poursuivez la cuisson pour 15 min supplémentaires. | 4. Tartiflette : Pendant ce temps, coupez le reblochon en fines tranches. Égouttez légèrement le mélange pommes de terre et lardons sil reste un fond deau puis versez-le dans un plat à gratin et recouvrez de reblochon . Enfournez pour 15 min. | 5. Salade : Dans un saladier, mélangez la moutarde avec le vinaigre de vin , lhuile dolive , du sel et du poivre . Lavez et essorez la salade (cf quantité) puis ajoutez-la au saladier. Mélangez juste avant de passer à table. | 6. Dressage : Servez votre tartiflette bien chaude et dégustez avec la salade assaisonnée . Bon appétit !",15 min,"bio, efficace, famille, porc, Gratin, Cheesy, Traditionnel, -20min, Recette légume, Kids friendly, sans gluten","Énergie : 137 kcal569 kJ; Protéines : 7,28 g; Lipides : 9,14 g; Fibres : 0,92 g; Glucides : 5,6 g; Graisses saturées : 5,1 g; Sucres : 0,46 g; Sel : 0,65 g","Énergie : 801 kcal3 333 kJ; Protéines : 42,63 g; Lipides : 53,56 g; Fibres : 5,4 g; Glucides : 32,79 g; Graisses saturées : 29,88 g; Sucres : 2,72 g; Sel : 3,78 g","Les températures dégringolent, lheure de la tartiflette a sonné : des pommes de terre normandes fondantes et des lardons croustillants sous une bonne couche de Reblochon gratiné. Un repas très gourmand, rapide et généreux à la savoyarde ! bio, efficace, famille, porc, Gratin, Cheesy, Traditionnel, -20min, Recette légume, Kids friendly, sans gluten",températures dégringolent lheure tartiflette a sonné pommes terre normandes fondantes lardons croustillants sou bonne couche reblochon gratiné repas très gourmand rapide généreux savoyarde bio famille porc gratin cheesy traditionnel légume gluten,13
"Gratin Dauphinois, Patate Douce et Cheddar à la Truffe",Compatible TM6,crème liquide : 500 ml; cheddar râpé : 250 g; patate douce : 500 g; pommes de terre : 500 g; crème à la truffe : 1 c.s.; noix de muscade en poudre : 1 pincée; ail : 1 pièce,"1. Mise en place : Les ingrédients peuvent différer entre Cookidoo et votre kit recette. Mais soyez assuré que cela naffecte pas la qualité de la recette, qui a été testée et approuvée par léquipe ! Retrouvez les quantités pour 8 p. en scannant le QR code au recto. Couper les patates douces en fines lamelles. Couper les pommes de terre en fines lamelles. Éplucher lail. Si vous avez le Découpe-Minute, vous pouvez couper les légumes en deux de taille adaptée à la grande goulotte. | 2. Déroulé : 1. Insérer laxe du Découpe-Minute et le panier à découper. Insérer le disque face 1 (émincer) vers le haut. Insérer le couvercle avec goulotte et insérer les patates douces, lune après lautre, dans la grande goulotte, puis insérer le poussoir et activer le mode Émincer/Épaisse , en poussant doucement le poussoir. Une fois les patates douces émincées, appuyer sur le sélecteur de vitesse pour arrêter. Retirer le panier à découper et transvaser les rondelles de patates douces dans un récipient. 2. Réinsérer le panier à découper et insérer le disque face 1 (émincer) vers le haut. Insérer le couvercle avec goulotte et insérer les pommes de terre, lune après lautre (position verticale), dans la grande goulotte, puis insérer le poussoir et activer le mode Émincer/Épaisse , en poussant doucement sur le poussoir. Retirer le panier à découper et laxe du Découpe-Minute, puis transvaser les pommes de terre dans le récipient avec les patates douces. 3. Mettre lail dans le bol et hacher 5 sec/vitesse 5 . Racler les parois du bol à laide de la spatule. 4. Ajouter lhuile dolive et chauffer 3 min/120°C/vitesse 1 . 5. Ajouter la crème liquide, les rondelles de patates douces et de pommes de terre, la noix de muscade, le sel et le poivre, puis cuire 15 min/100°C/sens inverse/vitesse mijotage . Pendant ce temps, préchauffer le four à 180 °C (Th. 6). Transvaser dans le plat à four Anna, recouvrir de cheddar râpé et la crème à la truffe, puis enfourner et cuire 20 minutes à 180 °C. Servir chaud.",10 min,"Kids friendly, végé, -20min, Recette légume, Gratin, sans gluten, TM6","Énergie : 158 kcal659 kJ; Protéines : 5,49 g; Lipides : 9,65 g; Fibres : 1,4 g; Glucides : 11,48 g; Graisses saturées : 6,37 g; Sucres : 2,92 g; Sel : 0,34 g","Énergie : 678 kcal2 830 kJ; Protéines : 23,6 g; Lipides : 41,44 g; Fibres : 6,02 g; Glucides : 49,3 g; Graisses saturées : 27,36 g; Sucres : 12,55 g; Sel : 1,45 g","Compatible TM6 Kids friendly, végé, -20min, Recette légume, Gratin, sans gluten, TM6",compatible végé légume gratin gluten,13
"Poulet Rôti, et Gratin Dauphinois Traditionnel","Le fameux poulet rôti, doré et moelleux, accompagné dun classique gratin dauphinois. Pommes de terre normandes fondantes, crème parfumée de thym et de muscade, peau croustillante du poulet... Simple, traditionnel et délicieux.",cuisse de poulet : 4 pièces; pommes de terre : 1200 g; thym frais : 4 tiges; ail : 2 pièces; crème liquide : 800 ml; muscade en poudre : 2 pincées,"1. Cest parti : Préchauffez votre four à 180°C en chaleur traditionnelle*. Dans un plat à four, disposez les cuisses de poulet . Salez , poivrez puis arrosez-les dun filet* dhuile dolive . Enfournez dans le four chaud pendant 25 à 30 min. | 2. Découpes rapides : Épluchez les pommes de terre puis coupez-les en très fines rondelles. Si vous avez une mandoline, cest le moment de la sortir ! | 3. À la poêle : Épluchez lail , coupez-le en 2 pour ôter son germe puis hachez-le*. Chauffez une cocotte ou une casserole à feu doux* avec un filet dhuile dolive . Ajoutez lail et faites-le suer* pendant 2 min en remuant. | 4. Cuisson douce : Versez la crème liquide et leau (cf. quantité). Ajoutez les pommes de terre , la muscade (cf. quantité) et le thym effeuillé*. Salez et poivrez bien puis laissez mijoter* à feu moyen 10 à 15 min. Temps libre pendant que ça cuit. | 5. Un tour au four : Versez le tout dans un plat à four puis enfournez pour 8 à 10 min. Nhésitez pas à mettre le gril en fin de cuisson, surveillez bien, ça gratine vite ! | 6. Miam : Vérifiez la cuisson des pommes de terre en les piquant. La lame du couteau doit senfoncer sans résistance. Vérifiez aussi que le poulet soit cuit à cœur.* Servez le gratin dauphinois avec le poulet bien chaud et régalez-vous !",20 min,"Traditionnel, gourmand, Gratin, -20min, volaille, sans gluten, Kids friendly","Énergie : 132 kcal552 kJ; Protéines : 6,42 g; Lipides : 8,09 g; Fibres : 0,88 g; Glucides : 7,76 g; Graisses saturées : 3,81 g; Sucres : 1,31 g; Sel : 0,1 g","Énergie : 905 kcal3 779 kJ; Protéines : 43,95 g; Lipides : 55,38 g; Fibres : 6,03 g; Glucides : 53,11 g; Graisses saturées : 26,05 g; Sucres : 8,96 g; Sel : 0,7 g","Le fameux poulet rôti, doré et moelleux, accompagné dun classique gratin dauphinois. Pommes de terre normandes fondantes, crème parfumée de thym et de muscade, peau croustillante du poulet... Simple, traditionnel et délicieux. Traditionnel, gourmand, Gratin, -20min, volaille, sans gluten, Kids friendly",fameux poulet rôti doré moelleux accompagné dun classique gratin dauphinois pommes terre normandes fondantes crème parfumée thym muscade peau croustillante poulet simple traditionnel délicieux traditionnel gourmand gratin volaille gluten,13
"Gratin de Butternut, aux Marrons",La courge butternut a un petit goût de noisette qui se marie parfaitement avec la saveur des marrons. De quoi réaliser une recette de gratin 100% automnal et réconfortant.,Marrons : 200 g; Jeunes pousses : 120 g; Cuisine soja : 400 ml; Butternut : 800 g; Chapelure : 80 g; Échalote : 2 pièces; Thym : 2 c.c.,"1. Cest parti : Préchauffez votre four à 200°C en chaleur tournante*. Lavez, épluchez, évidez et coupez le butternut en cubes. À laide dun couteau, hachez grossièrement les marrons . Pelez et émincez* léchalote . | 2. Gratin : Dans un plat à gratin, mélangez le butternut avec les marrons , l échalote , lhuile dolive , du sel et du poivre . Nappez* le dessus de cuisine soja puis parsemez de chapelure et de thym . Enfournez pendant 30 min. | 3. Jeunes pousses : Lavez et essorez les jeunes pousses . Dans un saladier, mélangez la moutarde avec le vinaigre balsamique , lhuile dolive , du sel et du poivre . Ajoutez les jeunes pousses et mélangez juste avant de passer à table. | 4. Dressage : Servez votre gratin de butternut aux marrons à la sortie du four, accompagné des jeunes pousses assaisonnées. Bon appétit !",20 min,"vegan, -20min, Recette légume, végé, bio, Kids friendly, Gratin, sans lactose, <600 kcal","Énergie : 111 kcal461 kJ; Protéines : 2,39 g; Lipides : 4,84 g; Fibres : 2,15 g; Glucides : 10,22 g; Graisses saturées : 0,78 g; Sucres : 1,86 g; Sel : 0,19 g","Énergie : 432 kcal1 801 kJ; Protéines : 9,34 g; Lipides : 18,91 g; Fibres : 8,4 g; Glucides : 39,9 g; Graisses saturées : 3,04 g; Sucres : 7,27 g; Sel : 0,74 g","La courge butternut a un petit goût de noisette qui se marie parfaitement avec la saveur des marrons. De quoi réaliser une recette de gratin 100% automnal et réconfortant. vegan, -20min, Recette légume, végé, bio, Kids friendly, Gratin, sans lactose, <600 kcal",courge butternut a petit goût noisette marie parfaitement saveur marrons quoi réaliser gratin automnal réconfortant vegan légume végé bio gratin lactose,13
Cuisses de Poulet à la Basquaise,"De délicieuses cuisses de pintade cuisinées façon basquaise avec des oignons, du poivron rouge, du thym, du laurier, de la tomate fraîche et du vin blanc le tout mijoté ensemble pour former un tout à tomber !",cuisse de poulet : 4 pièces; Poivron rouge : 500 g; tomates : 600 g; Oignon : 2 pièces; Ail : 2 pièces; Laurier : 2 feuilles; Vin blanc : 200 ml; Pommes de terre : 800 g; Thym frais : 4 tiges,"1. Allez hop, au four ! : Préchauffez le four à 180° en chaleur traditionnelle*
 Coupez les pommes de terre en 2
 Disposez-les dans un plat à four, arrosez-les dhuile dolive , salez & poivrez Enfournez pour 30 min | 2. Petites découpes : Émincez* loignon Claquez* lail Coupez la tomate et le poivron en dés | 3. Marquage : Chauffez une cocotte à feu vif* avec un filet* dhuile dolive Marquez* les cuisses de pintade 2 min par face, salez et poivrez Elles doivent être bien dorées ! | 4. Melting pot : Ajoutez la tomate , le poivron , lail claqué, les feuilles de laurier et le thym Salez et poivrez puis laissez cuire 3 min à feu moyen | 5. Touche de vin : Au bout de 3 min, ajoutez le vin blanc , et laissez mijoter* 20 à 25 min Ajoutez un peu deau si les cuisses de pintade ne sont pas immergées dans le liquide | 6. Service ! : Vérifiez la cuisson des cuisses de pintade Elles doivent être cuites à cœur, la chair doit se détacher facilement de los Servez avec les pommes de terre rôties",20 min,"volaille, gourmand, -20min, Recette légume, sans gluten, sans lactose","Énergie : 87 kcal363 kJ; Protéines : 5,38 g; Lipides : 3,64 g; Fibres : 1,26 g; Glucides : 6,19 g; Graisses saturées : 1,02 g; Sucres : 1,19 g; Sel : 0,07 g","Énergie : 618 kcal2 588 kJ; Protéines : 38,39 g; Lipides : 25,96 g; Fibres : 9,01 g; Glucides : 44,19 g; Graisses saturées : 7,26 g; Sucres : 8,53 g; Sel : 0,47 g","De délicieuses cuisses de pintade cuisinées façon basquaise avec des oignons, du poivron rouge, du thym, du laurier, de la tomate fraîche et du vin blanc le tout mijoté ensemble pour former un tout à tomber ! volaille, gourmand, -20min, Recette légume, sans gluten, sans lactose",délicieuses cuisse pintade cuisinées façon basquaise oignons poivron rouge thym laurier tomate fraîche vin blanc tout mijoté ensemble former tout tomber volaille gourmand légume gluten lactose,14
Escalope de Dinde & Légumes dAutomne,"Des escalopes de dinde Bleu Blanc Coeur accompagnées de carottes et de fenouil caramélisés au curry et au miel. Pour finir, une sauce à lhuile dolive et cébette qui vient twister le tout. 100% nutrition !",Escalope de dinde : 4 pièces; Carotte : 5 pièces; Fenouil : 2 pièces; Miel : 30 g; Curry imperator : 2 c.s.; Yaourt nature : 2 pièces; Yaourt de brebis : 2 pièces; Cébette : 2 pièces,"1. Mise en place : Préchauffez le four à 180°C en chaleur tournante*.
 Épluchez les carottes et coupez-les en bâtonnets.
 Coupez le fenouil en 2 puis en fines lamelles.
 Si besoin, ôtez la 1ère peau de la cébette puis émincez-là.* | 2. Un tour au four : Disposez les carottes et le fenouil sur une plaque couverte de papier cuisson.
 Arrosez dun filet* dhuile dolive et ajoutez le curry , salez et poivrez .
 Enfournez pour 35 à 40 min. Remuez à mi-cuisson. | 3. Pendant ce temps-là : Disposez la cébette dans un bol et mélangez-la avec le yaourt .
 Ajoutez un filet dhuile dolive , salez et poivrez . Temps libre de 30 min. | 4. Aller-retour : Une fois les légumes presque cuits : 
 Chauffez une poêle à feu vif* avec un filet dhuile dolive . 
 Faites-y cuire les escalopes de dinde 2 à 3 min par face, salez et poivrez bien. Elles doivent bien dorer et être cuites à cœur* ! | 5. Service parfumé : Servez les escalopes de dinde avec les légumes rôtis et la sauce yaourt-cébette .",20 min,"volaille, nutrition, -20min, Recette légume, Kids friendly, <600 kcal, sans gluten","Énergie : 50 kcal213 kJ; Protéines : 5,57 g; Lipides : 0,69 g; Fibres : 1,88 g; Glucides : 5,21 g; Graisses saturées : 0,15 g; Sucres : 4,46 g; Sel : 0,11 g","Énergie : 357 kcal1 507 kJ; Protéines : 39,37 g; Lipides : 4,89 g; Fibres : 13,3 g; Glucides : 36,88 g; Graisses saturées : 1,07 g; Sucres : 31,57 g; Sel : 0,75 g","Des escalopes de dinde Bleu Blanc Coeur accompagnées de carottes et de fenouil caramélisés au curry et au miel. Pour finir, une sauce à lhuile dolive et cébette qui vient twister le tout. 100% nutrition ! volaille, nutrition, -20min, Recette légume, Kids friendly, <600 kcal, sans gluten",escalopes dinde bleu blanc coeur accompagnées carottes fenouil caramélisés curry miel finir sauce lhuile dolive cébette vient twister tout volaille légume gluten,14
Chili de Poulet,Compatible TM5 / TM6 / TM31,Filet de poulet : 600 g; Oignon jaune : 200 g; Poivron vert : 200 g; Concentré de tomate : 1 c.c.; Piment rouge : 0.5 pièce; Tomate : 400 g; Paprika : 4 c.c.; Haricot rouge : 200 g; Maïs : 80 g,"1. Mise en place : Éplucher loignon et le couper en 2. 
 Couper le poivron vert en lanières.
 Couper le piment en 2 et retirer les pépins.
 Couper les tomates en 2.
 Couper le poulet en lanières.
 Égoutter les haricots rouges et le maïs. | 2. Déroulé : 1. Mettre les oignons dans le bol et hacher 5 sec/vitesse 5 . Racler les parois du bol à laide de la spatule. 2. Ajouter le poivron vert, le concentré de tomate, lhuile dolive, 2 pincées de sel et le piment , puis faire revenir 5 min/120°C/vitesse mijotage , sans le gobelet doseur. 3 Ajouter les tomates et le paprika. Insérer le panier cuisson, y mettre les filets de poulet, saler et poivrer, puis cuire à la vapeur 15 min/Varoma/vitesse mijotage . 4. Retirer le panier cuisson et transvaser son contenu dans le bol. Ajouter les haricots rouges et le maïs, puis cuire 5 min/100°C/vitesse mijotage , sans le gobelet doseur. Rectifier lassaisonnement si nécessaire et servir aussitôt.",15 min,"Amérique Latine, -20min, Recette légume, volaille, <600 kcal, sans gluten, sans lactose","Énergie : 75 kcal316 kJ; Protéines : 10,2 g; Lipides : 1,06 g; Fibres : 2,07 g; Glucides : 5,25 g; Graisses saturées : 0,28 g; Sucres : 1,63 g; Sel : 0,14 g","Énergie : 409 kcal1 723 kJ; Protéines : 55,65 g; Lipides : 5,8 g; Fibres : 11,31 g; Glucides : 28,66 g; Graisses saturées : 1,52 g; Sucres : 8,89 g; Sel : 0,75 g","Compatible TM5 / TM6 / TM31 Amérique Latine, -20min, Recette légume, volaille, <600 kcal, sans gluten, sans lactose",compatible amérique latine légume volaille gluten lactose,14
